DISTRICT,CNTYNAME,COUNTY,DAD_POST,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION,asvab_status
"'057839","DALLAS","'057"," ","N","Y","LA ACADEMIA DE ESTRELLAS","B","Meets Requirements","'10"," "
"'057840","DALLAS","'057"," ","N","Y","RICHLAND COLLEGIATE HIGH SCHOOL","A","Meets Requirements","'10","ASVAB Alternative Test Offered"
"'057841","DALLAS","'057"," ","N","Y","CITYSCAPE SCHOOLS","Not Rated: Senate Bill 1365","Meets Requirements","'10"," "
"'057844","DALLAS","'057","0","N","Y","MANARA ACADEMY","B","Needs Assistance","'10","ASVAB Test not Offered"
"'057845","DALLAS","'057","0","N","Y","UME PREPARATORY ACADEMY","A","Meets Requirements","'10"," "
"'057846","DALLAS","'057","0","N","Y","LEGACY PREPARATORY","B","Meets Requirements","'10"," "
"'057847","DALLAS","'057"," ","N","Y","VILLAGE TECH SCHOOLS","C","Meets Requirements","'10"," "
"'057848","DALLAS","'057","0","N","Y","INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)","B","Needs Intervention","'10"," "
"'057850","DALLAS","'057","0","N","Y","PIONEER TECHNOLOGY & ARTS ACADEMY","B","Meets Requirements","'10","ASVAB Test not Offered"
"'057851","DALLAS","'057"," ","N","Y","BRIDGEWAY PREPARATORY ACADEMY","B","Meets Requirements","'10"," "
"'057903","DALLAS","'057","0","N","N","CARROLLTON-FARMERS BRANCH ISD","B","Needs Assistance","'10"," "
"'057904","DALLAS","'057","0","N","N","CEDAR HILL ISD","C","Needs Substantial Intervention","'10"," "
"'057905","DALLAS","'057","0","N","N","DALLAS ISD","B","Needs Assistance","'10"," "
"'057906","DALLAS","'057","0","N","N","DESOTO ISD","B","Needs Intervention","'10"," "
"'057907","DALLAS","'057","0","N","N","DUNCANVILLE ISD","B","Needs Intervention","'10"," "
"'057909","DALLAS","'057","0","N","N","GARLAND ISD","B","Needs Assistance","'10"," "
"'057910","DALLAS","'057","0","N","N","GRAND PRAIRIE ISD","B","Needs Assistance","'10"," "
"'057911","DALLAS","'057","0","N","N","HIGHLAND PARK ISD","A","Meets Requirements","'10"," "
"'057912","DALLAS","'057","0","N","N","IRVING ISD","B","Needs Assistance","'10"," "
"'057913","DALLAS","'057","0","N","N","LANCASTER ISD","B","Needs Assistance","'10"," "
"'057914","DALLAS","'057","0","N","N","MESQUITE ISD","B","Meets Requirements","'10"," "
"'057916","DALLAS","'057","0","N","N","RICHARDSON ISD","B","Meets Requirements","'10"," "
"'057919","DALLAS","'057","0","N","N","SUNNYVALE ISD","A","Meets Requirements","'10"," "
"'057922","DALLAS","'057","0","N","N","COPPELL ISD","A","Meets Requirements","'10"," "
"'058902","DAWSON","'058"," ","N","N","DAWSON ISD","Not Rated: Senate Bill 1365","Meets Requirements","'17"," "
"'058905","DAWSON","'058"," ","N","N","KLONDIKE ISD","A","Meets Requirements","'17"," "
"'058906","DAWSON","'058"," ","N","N","LAMESA ISD","B","Needs Intervention","'17"," "
"'058909","DAWSON","'058"," ","N","N","SANDS CISD","A","Meets Requirements","'17"," "
"'059901","DEAF SMITH","'059","0","N","N","HEREFORD ISD","C","Meets Requirements","'16"," "
"'059902","DEAF SMITH","'059"," ","N","N","WALCOTT ISD","A","Meets Requirements","'16"," "
"'060902","DELTA","'060","0","N","N","COOPER ISD","B","Meets Requirements","'08"," "
"'060914","DELTA","'060","0","N","N","FANNINDEL ISD","B","Meets Requirements","'08"," "
"'061802","DENTON","'061","0","N","Y","NORTH TEXAS COLLEGIATE ACADEMY","C","Meets Requirements","'11"," "
"'061804","DENTON","'061","0","N","Y","LEADERSHIP PREP SCHOOL","B","Meets Requirements","'10"," "
"'061805","DENTON","'061"," ","N","Y","TRIVIUM ACADEMY","B","Meets Requirements","'11"," "
"'061901","DENTON","'061","0","N","N","DENTON ISD","B","Needs Assistance","'11"," "
"'061902","DENTON","'061","0","N","N","LEWISVILLE ISD","B","Meets Requirements","'11"," "
"'061903","DENTON","'061","0","N","N","PILOT POINT ISD","B","Meets Requirements","'11"," "
"'061905","DENTON","'061","0","N","N","KRUM ISD","B","Needs Assistance","'11"," "
"'061906","DENTON","'061","0","N","N","PONDER ISD","B","Meets Requirements","'11"," "
"'061907","DENTON","'061","0","N","N","AUBREY ISD","B","Meets Requirements","'11"," "
"'061908","DENTON","'061","0","N","N","SANGER ISD","B","Meets Requirements","'11"," "
"'061910","DENTON","'061","0","N","N","ARGYLE ISD","A","Meets Requirements","'11"," "
"'061911","DENTON","'061","0","N","N","NORTHWEST ISD","B","Meets Requirements","'11"," "
"'061912","DENTON","'061","0","N","N","LAKE DALLAS ISD","B","Meets Requirements","'11"," "
"'061914","DENTON","'061","0","N","N","LITTLE ELM ISD","C","Needs Assistance","'11"," "
"'062901","DEWITT","'062","0","N","N","CUERO ISD","A","Needs Assistance","'03"," "
"'062902","DEWITT","'062"," ","N","N","NORDHEIM ISD","B","Meets Requirements","'03"," "
"'062903","DEWITT","'062","0","N","N","YOAKUM ISD","B","Meets Requirements","'03"," "
"'062904","DEWITT","'062","0","N","N","YORKTOWN ISD","C","Meets Requirements","'03"," "
"'062905","DEWITT","'062"," ","N","N","WESTHOFF ISD","A","Meets Requirements","'03"," "
"'062906","DEWITT","'062"," ","N","N","MEYERSVILLE ISD","A","Meets Requirements","'03"," "
"'063903","DICKENS","'063"," ","N","N","SPUR ISD","B","Meets Requirements","'17"," "
"'063906","DICKENS","'063"," ","N","N","PATTON SPRINGS ISD","A","Meets Requirements","'17"," "
"'064903","DIMMIT","'064","0","N","N","CARRIZO SPRINGS CISD","B","Needs Assistance","'20"," "
"'065901","DONLEY","'065","0","N","N","CLARENDON ISD","B","Meets Requirements","'16"," "
"'065902","DONLEY","'065"," ","N","N","HEDLEY ISD","A","Meets Requirements","'16"," "
"'066005","DUVAL","'066"," ","N","N","RAMIREZ CSD","C","Meets Requirements","'02"," "
"'066901","DUVAL","'066","0","N","N","BENAVIDES ISD","C","Meets Requirements","'02"," "
"'066902","DUVAL","'066","0","N","N","SAN DIEGO ISD","B","Needs Assistance","'02"," "
"'066903","DUVAL","'066","0","N","N","FREER ISD","B","Meets Requirements","'02"," "
"'067902","EASTLAND","'067","1","N","N","CISCO ISD","B","Meets Requirements","'14"," "
"'067903","EASTLAND","'067","0","N","N","EASTLAND ISD","B","Meets Requirements","'14"," "
"'067904","EASTLAND","'067","0","N","N","GORMAN ISD","B","Meets Requirements","'14"," "
"'067907","EASTLAND","'067","0","N","N","RANGER ISD","C","Meets Requirements","'14"," "
"'067908","EASTLAND","'067","0","N","N","RISING STAR ISD","B","Meets Requirements","'14"," "
"'068802","ECTOR","'068"," ","N","Y","COMPASS ACADEMY CHARTER SCHOOL","C","Meets Requirements","'18"," "
"'068803","ECTOR","'068"," ","N","Y","UTPB STEM ACADEMY","B","Meets Requirements","'18"," "
"'068901","ECTOR","'068","0","N","N","ECTOR COUNTY ISD","B","Needs Intervention","'18"," "
"'069901","EDWARDS","'069"," ","N","N","ROCKSPRINGS ISD","B","Meets Requirements","'15"," "
"'069902","EDWARDS","'069","0","N","N","NUECES CANYON CISD","A","Meets Requirements","'15"," "
"'070801","ELLIS","'070","0","N","Y","WAXAHACHIE FAITH FAMILY ACADEMY","Not Rated: Senate Bill 1365","Needs Intervention","'10"," "
"'070901","ELLIS","'070"," ","N","N","AVALON ISD","B","Meets Requirements","'10"," "
"'070903","ELLIS","'070","1","N","N","ENNIS ISD","B","Needs Assistance","'10"," "
"'070905","ELLIS","'070","0","N","N","FERRIS ISD","B","Needs Assistance","'10"," "
"'070907","ELLIS","'070","0","N","N","ITALY ISD","C","Meets Requirements","'10"," "
"'070908","ELLIS","'070","0","N","N","MIDLOTHIAN ISD","B","Meets Requirements","'10"," "
"'070909","ELLIS","'070"," ","N","N","MILFORD ISD","B","Meets Requirements","'10"," "
"'070910","ELLIS","'070","0","N","N","PALMER ISD","A","Meets Requirements","'10"," "
"'070911","ELLIS","'070","0","N","N","RED OAK ISD","B","Needs Intervention","'10"," "
"'070912","ELLIS","'070","0","N","N","WAXAHACHIE ISD","B","Meets Requirements","'10"," "
"'070915","ELLIS","'070","0","N","N","MAYPEARL ISD","B","Meets Requirements","'10"," "
"'071801","EL PASO","'071","0","N","Y","BURNHAM WOOD CHARTER SCHOOL DISTRICT","A","Meets Requirements","'19"," "
"'071803","EL PASO","'071"," ","Y","Y","TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO","Not Rated: Data Under Review","Meets Requirements","'19"," "
"'071804","EL PASO","'071"," ","Y","Y","EL PASO ACADEMY","A","Meets Requirements","'19"," "
"'071806","EL PASO","'071","0","N","Y","HARMONY PUBLIC SCHOOLS - WEST TEXAS","A","Meets Requirements","'19"," "
"'071807","EL PASO","'071"," ","N","Y","LA FE PREPARATORY SCHOOL","A","Meets Requirements","'19"," "
"'071809","EL PASO","'071"," ","N","Y","VISTA DEL FUTURO CHARTER SCHOOL","B","Meets Requirements","'19"," "
"'071810","EL PASO","'071","0","N","Y","EL PASO LEADERSHIP ACADEMY","Not Rated: Senate Bill 1365","Meets Requirements","'19"," "
"'071901","EL PASO","'071","0","N","N","CLINT ISD","B","Needs Assistance","'19"," "
"'071902","EL PASO","'071","0","N","N","EL PASO ISD","B","Needs Assistance","'19"," "
"'071903","EL PASO","'071","0","N","N","FABENS ISD","B","Needs Intervention","'19"," "
"'071904","EL PASO","'071","0","N","N","SAN ELIZARIO ISD","B","Needs Intervention","'19"," "
"'071905","EL PASO","'071","0","N","N","YSLETA ISD","A","Meets Requirements","'19"," "
"'071906","EL PASO","'071","0","N","N","ANTHONY ISD","A","Meets Requirements","'19"," "
"'071907","EL PASO","'071","0","N","N","CANUTILLO ISD","A","Needs Assistance","'19"," "
"'071908","EL PASO","'071","0","N","N","TORNILLO ISD","B","Meets Requirements","'19"," "
"'071909","EL PASO","'071","0","N","N","SOCORRO ISD","B","Needs Assistance","'19"," "
"'072801","ERATH","'072"," ","Y","Y","PREMIER HIGH SCHOOLS","Not Rated: Data Under Review","Needs Assistance","'11","ASVAB Alternative Test Offered"
"'072802","ERATH","'072"," ","Y","Y","ERATH EXCELS ACADEMY INC","B","Meets Requirements","'11"," "
"'072901","ERATH","'072"," ","N","N","THREE WAY ISD","C","Meets Requirements","'11","ASVAB Alternative Test Offered"
"'072902","ERATH","'072","1","N","N","DUBLIN ISD","A","Meets Requirements","'11"," "
"'072903","ERATH","'072","0","N","N","STEPHENVILLE ISD","A","Meets Requirements","'11"," "
"'072904","ERATH","'072"," ","N","N","BLUFF DALE ISD","C","Meets Requirements","'11"," "
"'072908","ERATH","'072"," ","N","N","HUCKABAY ISD","A","Meets Requirements","'11"," "
"'072909","ERATH","'072"," ","N","N","LINGLEVILLE ISD","A","Meets Requirements","'11"," "
"'072910","ERATH","'072"," ","N","N","MORGAN MILL ISD","B","Meets Requirements","'11"," "
"'073901","FALLS","'073"," ","N","N","CHILTON ISD","A","Meets Requirements","'12"," "
"'073903","FALLS","'073","0","N","N","MARLIN ISD","B","Meets Requirements","'12"," "
"'073904","FALLS","'073"," ","N","N","WESTPHALIA ISD","A","Meets Requirements","'12"," "
"'073905","FALLS","'073","0","N","N","ROSEBUD-LOTT ISD","B","Meets Requirements","'12"," "
"'074903","FANNIN","'074","0","N","N","BONHAM ISD","C","Meets Requirements","'10"," "
"'074904","FANNIN","'074"," ","N","N","DODD CITY ISD","A","Meets Requirements","'10"," "
"'074905","FANNIN","'074","0","N","N","ECTOR ISD","C","Meets Requirements","'10"," "
"'074907","FANNIN","'074","1","N","N","HONEY GROVE ISD","A","Meets Requirements","'08"," "
"'074909","FANNIN","'074","0","N","N","LEONARD ISD","B","Meets Requirements","'10"," "
"'074911","FANNIN","'074","0","N","N","SAVOY ISD","B","Meets Requirements","'10"," "
"'074912","FANNIN","'074","0","N","N","TRENTON ISD","B","Meets Requirements","'10"," "
"'074917","FANNIN","'074","0","N","N","SAM RAYBURN ISD","A","Meets Requirements","'10"," "
"'075901","FAYETTE","'075","1","N","N","FLATONIA ISD","A","Meets Requirements","'13"," "
"'075902","FAYETTE","'075","0","N","N","LA GRANGE ISD","B","Meets Requirements","'13"," "
"'075903","FAYETTE","'075","0","N","N","SCHULENBURG ISD","B","Meets Requirements","'13"," "
"'075906","FAYETTE","'075"," ","N","N","FAYETTEVILLE ISD","A","Meets Requirements","'13"," "
"'075908","FAYETTE","'075","1","N","N","ROUND TOP-CARMINE ISD","A","Meets Requirements","'13"," "
"'076903","FISHER","'076"," ","N","N","ROBY CISD","B","Meets Requirements","'14"," "
"'076904","FISHER","'076"," ","N","N","ROTAN ISD","A","Meets Requirements","'14"," "
"'077901","FLOYD","'077","0","N","N","FLOYDADA COLLEGIATE ISD","B","Meets Requirements","'17"," "
"'077902","FLOYD","'077","0","N","N","LOCKNEY ISD","B","Meets Requirements","'17"," "
"'078901","FOARD","'078"," ","N","N","CROWELL ISD","B","Meets Requirements","'09"," "
"'079901","FORT BEND","'079","0","N","N","LAMAR CISD","A","Needs Assistance","'04"," "
"'079906","FORT BEND","'079","0","N","N","NEEDVILLE ISD","A","Meets Requirements","'04"," "
"'079907","FORT BEND","'079","0","N","N","FORT BEND ISD","B","Needs Assistance","'04"," "
"'079910","FORT BEND","'079","0","N","N","STAFFORD MSD","B","Needs Assistance","'04"," "
"'080901","FRANKLIN","'080","0","N","N","MOUNT VERNON ISD","A","Meets Requirements","'08"," "
"'081902","FREESTONE","'081","0","N","N","FAIRFIELD ISD","B","Meets Requirements","'12"," "
"'081904","FREESTONE","'081","1","N","N","TEAGUE ISD","A","Meets Requirements","'12"," "
"'081905","FREESTONE","'081","0","N","N","WORTHAM ISD","B","Meets Requirements","'12"," "
"'081906","FREESTONE","'081"," ","N","N","DEW ISD","B","Meets Requirements","'12"," "
"'082902","FRIO","'082","0","N","N","DILLEY ISD","B","Needs Assistance","'20"," "
"'082903","FRIO","'082","0","N","N","PEARSALL ISD","B","Needs Assistance","'20"," "
"'083901","GAINES","'083"," ","N","N","SEAGRAVES ISD","B","Meets Requirements","'17"," "
"'083902","GAINES","'083"," ","N","N","LOOP ISD","A","Meets Requirements","'17"," "
"'083903","GAINES","'083","1","N","N","SEMINOLE ISD","A","Meets Requirements","'17"," "
"'084802","GALVESTON","'084","0","N","Y","ODYSSEY ACADEMY INC","B","Meets Requirements","'04"," "
"'084804","GALVESTON","'084"," ","N","Y","AMBASSADORS PREPARATORY ACADEMY","A","Meets Requirements","'04"," "
"'084901","GALVESTON","'084","0","N","N","DICKINSON ISD","B","Meets Requirements","'04"," "
"'084902","GALVESTON","'084","0","N","N","GALVESTON ISD","B","Needs Assistance","'04","ASVAB Test not Offered"
"'084903","GALVESTON","'084"," ","N","N","HIGH ISLAND ISD","A","Meets Requirements","'05"," "
"'084906","GALVESTON","'084","0","N","N","TEXAS CITY ISD","B","Needs Assistance","'04"," "
"'084908","GALVESTON","'084","0","N","N","HITCHCOCK ISD","B","Needs Assistance","'04"," "
"'084909","GALVESTON","'084","0","N","N","SANTA FE ISD","B","Meets Requirements","'04"," "
"'084910","GALVESTON","'084","0","N","N","CLEAR CREEK ISD","B","Meets Requirements","'04"," "
"'084911","GALVESTON","'084","0","N","N","FRIENDSWOOD ISD","A","Meets Requirements","'04"," "
"'085902","GARZA","'085","0","N","N","POST ISD","B","Meets Requirements","'17"," "
"'085903","GARZA","'085"," ","N","N","SOUTHLAND ISD","C","Meets Requirements","'17"," "
"'086024","GILLESPIE","'086"," ","N","N","DOSS CONSOLIDATED CSD","B","Meets Requirements","'13"," "
"'086901","GILLESPIE","'086","0","N","N","FREDERICKSBURG ISD","C","Needs Assistance","'13"," "
"'086902","GILLESPIE","'086","0","N","N","HARPER ISD","A","Meets Requirements","'15"," "
"'087901","GLASSCOCK","'087","1","N","N","GLASSCOCK COUNTY ISD","A","Meets Requirements","'18"," "
"'088902","GOLIAD","'088","0","N","N","GOLIAD ISD","B","Needs Assistance","'03"," "
"'089901","GONZALES","'089","0","N","N","GONZALES ISD","B","Needs Assistance","'13"," "
"'089903","GONZALES","'089","0","N","N","NIXON-SMILEY CISD","B","Meets Requirements","'13"," "
"'089905","GONZALES","'089"," ","N","N","WAELDER ISD","B","Needs Assistance","'13"," "
"'090902","GRAY","'090"," ","N","N","LEFORS ISD","C","Meets Requirements","'16"," "
"'090903","GRAY","'090"," ","N","N","MCLEAN ISD","A","Meets Requirements","'16"," "
"'090904","GRAY","'090","0","N","N","PAMPA ISD","B","Needs Assistance","'16"," "
"'090905","GRAY","'090"," ","N","N","GRANDVIEW-HOPKINS ISD","B","Meets Requirements","'16"," "
"'091901","GRAYSON","'091","1","N","N","BELLS ISD","A","Meets Requirements","'10"," "
"'091902","GRAYSON","'091","0","N","N","COLLINSVILLE ISD","C","Meets Requirements","'10"," "
"'091903","GRAYSON","'091","0","N","N","DENISON ISD","C","Meets Requirements","'10"," "
"'091905","GRAYSON","'091","0","N","N","HOWE ISD","A","Meets Requirements","'10"," "
"'091906","GRAYSON","'091","0","N","N","SHERMAN ISD","C","Needs Intervention","'10"," "
"'091907","GRAYSON","'091"," ","N","N","TIOGA ISD","B","Meets Requirements","'10"," "
"'091908","GRAYSON","'091","1","N","N","VAN ALSTYNE ISD","A","Meets Requirements","'10"," "
"'091909","GRAYSON","'091","0","N","N","WHITESBORO ISD","B","Meets Requirements","'10"," "
"'091910","GRAYSON","'091","0","N","N","WHITEWRIGHT ISD","A","Meets Requirements","'10"," "
"'091913","GRAYSON","'091","0","N","N","POTTSBORO ISD","B","Meets Requirements","'10"," "
"'091914","GRAYSON","'091","0","N","N","S AND S CISD","B","Meets Requirements","'10"," "
"'091917","GRAYSON","'091","1","N","N","GUNTER ISD","A","Meets Requirements","'10"," "
"'091918","GRAYSON","'091","0","N","N","TOM BEAN ISD","B","Meets Requirements","'10"," "
"'092801","GREGG","'092"," ","Y","Y","EAST TEXAS CHARTER SCHOOLS","A","Meets Requirements","'07"," "
"'092901","GREGG","'092","0","N","N","GLADEWATER ISD","B","Needs Assistance","'07"," "
"'092902","GREGG","'092","0","N","N","KILGORE ISD","B","Needs Substantial Intervention","'07"," "
"'092903","GREGG","'092","1","N","N","LONGVIEW ISD","A","Meets Requirements","'07"," "
"'092904","GREGG","'092","0","N","N","PINE TREE ISD","B","Meets Requirements","'07"," "
"'092906","GREGG","'092","0","N","N","SABINE ISD","A","Meets Requirements","'07"," "
"'092907","GREGG","'092","1","N","N","SPRING HILL ISD","A","Meets Requirements","'07"," "
"'092908","GREGG","'092","0","N","N","WHITE OAK ISD","A","Needs Assistance","'07"," "
"'093901","GRIMES","'093","0","N","N","ANDERSON-SHIRO CISD","A","Meets Requirements","'06"," "
"'093903","GRIMES","'093","0","N","N","IOLA ISD","A","Meets Requirements","'06"," "
"'093904","GRIMES","'093","0","N","N","NAVASOTA ISD","B","Needs Intervention","'06"," "
"'093905","GRIMES","'093"," ","N","N","RICHARDS ISD","B","Meets Requirements","'06"," "
"'094901","GUADALUPE","'094","0","N","N","SEGUIN ISD","Not Rated: Senate Bill 1365","Needs Assistance","'20"," "
"'094902","GUADALUPE","'094","0","N","N","SCHERTZ-CIBOLO-U CITY ISD","B","Meets Requirements","'20"," "
"'094903","GUADALUPE","'094","0","N","N","NAVARRO ISD","B","Meets Requirements","'20"," "
"'094904","GUADALUPE","'094","0","N","N","MARION ISD","B","Meets Requirements","'20"," "
"'095901","HALE","'095","0","N","N","ABERNATHY ISD","A","Meets Requirements","'17"," "
"'095902","HALE","'095"," ","N","N","COTTON CENTER ISD","B","Meets Requirements","'17"," "
"'095903","HALE","'095","0","N","N","HALE CENTER ISD","B","Meets Requirements","'17","ASVAB Alternative Test Offered"
"'095904","HALE","'095"," ","N","N","PETERSBURG ISD","A","Meets Requirements","'17"," "
"'095905","HALE","'095","0","N","N","PLAINVIEW ISD","B","Needs Assistance","'17"," "
"'096904","HALL","'096","0","N","N","MEMPHIS ISD","B","Meets Requirements","'16"," "
"'096905","HALL","'096"," ","N","N","TURKEY-QUITAQUE ISD","A","Meets Requirements","'16"," "
"'097902","HAMILTON","'097","0","N","N","HAMILTON ISD","A","Meets Requirements","'12"," "
"'097903","HAMILTON","'097","0","N","N","HICO ISD","B","Meets Requirements","'12"," "
"'098901","HANSFORD","'098","0","N","N","GRUVER ISD","A","Meets Requirements","'16"," "
"'098903","HANSFORD","'098"," ","N","N","PRINGLE-MORSE CISD","B","Meets Requirements","'16","ASVAB Test not Offered"
"'098904","HANSFORD","'098","1","N","N","SPEARMAN ISD","A","Meets Requirements","'16"," "
"'099902","HARDEMAN","'099"," ","N","N","CHILLICOTHE ISD","B","Meets Requirements","'09"," "
"'099903","HARDEMAN","'099"," ","N","N","QUANAH ISD","Not Rated: Data Under Review","Meets Requirements","'09"," "
"'100903","HARDIN","'100","0","N","N","KOUNTZE ISD","B","Needs Assistance","'05"," "
"'100904","HARDIN","'100","0","N","N","SILSBEE ISD","C","Needs Substantial Intervention","'05"," "
"'100905","HARDIN","'100","0","N","N","HARDIN-JEFFERSON ISD","B","Meets Requirements","'05"," "
"'100907","HARDIN","'100","0","N","N","LUMBERTON ISD","B","Meets Requirements","'05"," "
"'100908","HARDIN","'100","0","N","N","WEST HARDIN COUNTY CISD","B","Meets Requirements","'05"," "
"'101802","HARRIS","'101","0","N","Y","SER-NINOS CHARTER SCHOOL","B","Meets Requirements","'04"," "
"'101803","HARRIS","'101","0","N","Y","ARISTOI CLASSICAL ACADEMY","B","Meets Requirements","'04"," "
"'101804","HARRIS","'101"," ","Y","Y","GEORGE I SANCHEZ CHARTER","B","Meets Requirements","'04"," "
"'101806","HARRIS","'101","0","N","Y","RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","A","Meets Requirements","'04"," "
"'101810","HARRIS","'101"," ","N","Y","ACADEMY OF ACCELERATED LEARNING INC","Not Rated","Meets Requirements","'04"," "
"'101811","HARRIS","'101"," ","Y","Y","EXCEL ACADEMY","Not Rated","Meets Requirements","'04"," "
"'101814","HARRIS","'101","0","N","Y","THE VARNETT PUBLIC SCHOOL","B","Meets Requirements","'04"," "
"'101815","HARRIS","'101"," ","N","Y","ALIEF MONTESSORI COMMUNITY SCHOOL","B","Meets Requirements","'04"," "
"'101819","HARRIS","'101"," ","N","Y","AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","A","Meets Requirements","'04"," "
"'101821","HARRIS","'101"," ","Y","Y","HOUSTON HEIGHTS HIGH SCHOOL","A","Meets Requirements","'04"," "
"'101828","HARRIS","'101","0","N","Y","HOUSTON GATEWAY ACADEMY INC","A","Meets Requirements","'04"," "
"'101837","HARRIS","'101","1","N","Y","CALVIN NELMS CHARTER SCHOOLS","A","Meets Requirements","'04"," "
"'101838","HARRIS","'101"," ","N","Y","SOUTHWEST SCHOOL","B","Needs Intervention","'04"," "
"'101840","HARRIS","'101"," ","N","Y","TWO DIMENSIONS PREPARATORY ACADEMY","B","Meets Requirements","'04"," "
"'101842","HARRIS","'101"," ","N","Y","COMQUEST ACADEMY","C","Meets Requirements","'04"," "
"'101845","HARRIS","'101","0","N","Y","YES PREP PUBLIC SCHOOLS INC","B","Needs Assistance","'04"," "
"'101846","HARRIS","'101","0","N","Y","HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH","A","Needs Assistance","'04"," "
"'101847","HARRIS","'101"," ","N","Y","BEATRICE MAYES INSTITUTE CHARTER SCHOOL","C","Meets Requirements","'04"," "
"'101849","HARRIS","'101"," ","N","Y","ACCELERATED INTERMEDIATE ACADEMY","A","Meets Requirements","'04"," "
"'101853","HARRIS","'101","0","N","Y","PROMISE COMMUNITY SCHOOL","C","Meets Requirements","'04"," "
"'101855","HARRIS","'101"," ","N","Y","MEYERPARK ELEMENTARY","B","Meets Requirements","'04"," "
"'101856","HARRIS","'101"," ","N","Y","DRAW ACADEMY","B","Meets Requirements","'04"," "
"'101858","HARRIS","'101","0","N","Y","HARMONY PUBLIC SCHOOLS - HOUSTON NORTH","A","Meets Requirements","'04"," "
"'101859","HARRIS","'101"," ","N","Y","STEP CHARTER SCHOOL","A","Meets Requirements","'04"," "
"'101861","HARRIS","'101"," ","N","Y","THE RHODES SCHOOL FOR PERFORMING ARTS","B","Meets Requirements","'04"," "
"'101862","HARRIS","'101","0","N","Y","HARMONY PUBLIC SCHOOLS - HOUSTON WEST","A","Meets Requirements","'04"," "
"'101864","HARRIS","'101"," ","Y","Y","THE LAWSON ACADEMY","B","Meets Requirements","'04"," "
"'101868","HARRIS","'101"," ","Y","Y","THE PRO-VISION ACADEMY","Not Rated: Senate Bill 1365","Needs Assistance","'04"," "
"'101870","HARRIS","'101"," ","N","Y","BETA ACADEMY","A","Meets Requirements","'04"," "
"'101871","HARRIS","'101"," ","N","Y","A+ UNLIMITED POTENTIAL","B","Meets Requirements","'04"," "
"'101872","HARRIS","'101"," ","N","Y","ETOILE ACADEMY CHARTER SCHOOL","B","Meets Requirements","'04"," "
"'101873","HARRIS","'101"," ","N","Y","YELLOWSTONE COLLEGE PREPARATORY","B","Meets Requirements","'04"," "
"'101874","HARRIS","'101"," ","N","Y","LEGACY SCHOOL OF SPORT SCIENCES","B","Meets Requirements","'04"," "
"'101875","HARRIS","'101"," ","N","Y","BLOOM ACADEMY CHARTER SCHOOL","Not Rated: Senate Bill 1365","Meets Requirements","'04"," "
"'101876","HARRIS","'101"," ","N","Y","REVE PREPARATORY CHARTER SCHOOL","Not Rated: Senate Bill 1365","Meets Requirements","'04"," "
"'101877","HARRIS","'101"," ","N","Y","ELEVATE COLLEGIATE CHARTER SCHOOL","Not Rated","Meets Requirements","'04"," "
"'101878","HARRIS","'101"," ","N","Y","HOUSTON CLASSICAL CHARTER SCHOOL","Not Rated","Meets Requirements","'04"," "
"'101902","HARRIS","'101","0","N","N","ALDINE ISD","C","Needs Substantial Intervention","'04"," "
"'101903","HARRIS","'101","0","N","N","ALIEF ISD","B","Needs Assistance","'04"," "
"'101905","HARRIS","'101","0","N","N","CHANNELVIEW ISD","B","Needs Assistance","'04"," "
"'101906","HARRIS","'101","0","N","N","CROSBY ISD","B","Meets Requirements","'04"," "
"'101907","HARRIS","'101","0","N","N","CYPRESS-FAIRBANKS ISD","A","Meets Requirements","'04"," "
"'101908","HARRIS","'101","0","N","N","DEER PARK ISD","A","Meets Requirements","'04"," "
"'101910","HARRIS","'101"," ","N","N","GALENA PARK ISD","Not Rated: Data Under Review","Needs Assistance","'04"," "
"'101911","HARRIS","'101","0","N","N","GOOSE CREEK CISD","B","Needs Assistance","'04"," "
"'101912","HARRIS","'101","0","N","N","HOUSTON ISD","B","Needs Assistance","'04"," "
"'101913","HARRIS","'101","0","N","N","HUMBLE ISD","B","Needs Assistance","'04"," "
"'101914","HARRIS","'101","0","N","N","KATY ISD","A","Meets Requirements","'04"," "
"'101915","HARRIS","'101","0","N","N","KLEIN ISD","B","Meets Requirements","'04"," "
"'101916","HARRIS","'101","0","N","N","LA PORTE ISD","B","Meets Requirements","'04"," "
"'101917","HARRIS","'101","0","N","N","PASADENA ISD","B","Needs Assistance","'04"," "
"'101919","HARRIS","'101","0","N","N","SPRING ISD","B","Needs Assistance","'04"," "
"'101920","HARRIS","'101","0","N","N","SPRING BRANCH ISD","B","Meets Requirements","'04"," "
"'101921","HARRIS","'101","0","N","N","TOMBALL ISD","A","Meets Requirements","'04"," "
"'101924","HARRIS","'101","0","N","N","SHELDON ISD","B","Needs Assistance","'04"," "
"'101925","HARRIS","'101","0","N","N","HUFFMAN ISD","B","Needs Assistance","'04"," "
"'102901","HARRISON","'102"," ","N","N","KARNACK ISD","C","Meets Requirements","'07"," "
"'102902","HARRISON","'102","0","N","N","MARSHALL ISD","B","Needs Substantial Intervention","'07"," "
