DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,REGION
"'079906","FORT BEND","'079","N","N","NEEDVILLE ISD","'04"
"'079907","FORT BEND","'079","N","N","FORT BEND ISD","'04"
"'079910","FORT BEND","'079","N","N","STAFFORD MSD","'04"
"'080901","FRANKLIN","'080","N","N","MOUNT VERNON ISD","'08"
"'081902","FREESTONE","'081","N","N","FAIRFIELD ISD","'12"
"'081904","FREESTONE","'081","N","N","TEAGUE ISD","'12"
"'081905","FREESTONE","'081","N","N","WORTHAM ISD","'12"
"'081906","FREESTONE","'081","N","N","DEW ISD","'12"
"'082902","FRIO","'082","N","N","DILLEY ISD","'20"
"'082903","FRIO","'082","N","N","PEARSALL ISD","'20"
"'083901","GAINES","'083","N","N","SEAGRAVES ISD","'17"
"'083902","GAINES","'083","N","N","LOOP ISD","'17"
"'083903","GAINES","'083","N","N","SEMINOLE ISD","'17"
"'084802","GALVESTON","'084","N","Y","ODYSSEY ACADEMY INC","'04"
"'084804","GALVESTON","'084","N","Y","AMBASSADORS PREPARATORY ACADEMY","'04"
"'084901","GALVESTON","'084","N","N","DICKINSON ISD","'04"
"'084902","GALVESTON","'084","N","N","GALVESTON ISD","'04"
"'084903","GALVESTON","'084","N","N","HIGH ISLAND ISD","'05"
"'084906","GALVESTON","'084","N","N","TEXAS CITY ISD","'04"
"'084908","GALVESTON","'084","N","N","HITCHCOCK ISD","'04"
"'084909","GALVESTON","'084","N","N","SANTA FE ISD","'04"
"'084910","GALVESTON","'084","N","N","CLEAR CREEK ISD","'04"
"'084911","GALVESTON","'084","N","N","FRIENDSWOOD ISD","'04"
"'085902","GARZA","'085","N","N","POST ISD","'17"
"'085903","GARZA","'085","N","N","SOUTHLAND ISD","'17"
"'086024","GILLESPIE","'086","N","N","DOSS CONSOLIDATED CSD","'13"
"'086901","GILLESPIE","'086","N","N","FREDERICKSBURG ISD","'13"
"'086902","GILLESPIE","'086","N","N","HARPER ISD","'13"
"'087901","GLASSCOCK","'087","N","N","GLASSCOCK COUNTY ISD","'18"
"'088902","GOLIAD","'088","N","N","GOLIAD ISD","'03"
"'089901","GONZALES","'089","N","N","GONZALES ISD","'13"
"'089903","GONZALES","'089","N","N","NIXON-SMILEY CISD","'13"
"'089905","GONZALES","'089","N","N","WAELDER ISD","'13"
"'090902","GRAY","'090","N","N","LEFORS ISD","'16"
"'090903","GRAY","'090","N","N","MCLEAN ISD","'16"
"'090904","GRAY","'090","N","N","PAMPA ISD","'16"
"'090905","GRAY","'090","N","N","GRANDVIEW-HOPKINS ISD","'16"
"'091901","GRAYSON","'091","N","N","BELLS ISD","'10"
"'091902","GRAYSON","'091","N","N","COLLINSVILLE ISD","'10"
"'091903","GRAYSON","'091","N","N","DENISON ISD","'10"
"'091905","GRAYSON","'091","N","N","HOWE ISD","'10"
"'091906","GRAYSON","'091","N","N","SHERMAN ISD","'10"
"'091907","GRAYSON","'091","N","N","TIOGA ISD","'10"
"'091908","GRAYSON","'091","N","N","VAN ALSTYNE ISD","'10"
"'091909","GRAYSON","'091","N","N","WHITESBORO ISD","'10"
"'091910","GRAYSON","'091","N","N","WHITEWRIGHT ISD","'10"
"'091913","GRAYSON","'091","N","N","POTTSBORO ISD","'10"
"'091914","GRAYSON","'091","N","N","S AND S CISD","'10"
"'091917","GRAYSON","'091","N","N","GUNTER ISD","'10"
"'091918","GRAYSON","'091","N","N","TOM BEAN ISD","'10"
"'092801","GREGG","'092","Y","Y","EAST TEXAS CHARTER SCHOOLS","'07"
"'092901","GREGG","'092","N","N","GLADEWATER ISD","'07"
"'092902","GREGG","'092","N","N","KILGORE ISD","'07"
"'092903","GREGG","'092","N","N","LONGVIEW ISD","'07"
"'092904","GREGG","'092","N","N","PINE TREE ISD","'07"
"'092906","GREGG","'092","N","N","SABINE ISD","'07"
"'092907","GREGG","'092","N","N","SPRING HILL ISD","'07"
"'092908","GREGG","'092","N","N","WHITE OAK ISD","'07"
"'093901","GRIMES","'093","N","N","ANDERSON-SHIRO CISD","'06"
"'093903","GRIMES","'093","N","N","IOLA ISD","'06"
"'093904","GRIMES","'093","N","N","NAVASOTA ISD","'06"
"'093905","GRIMES","'093","N","N","RICHARDS ISD","'06"
"'094901","GUADALUPE","'094","N","N","SEGUIN ISD","'20"
"'094902","GUADALUPE","'094","N","N","SCHERTZ-CIBOLO-U CITY ISD","'20"
"'094903","GUADALUPE","'094","N","N","NAVARRO ISD","'20"
"'094904","GUADALUPE","'094","N","N","MARION ISD","'20"
"'095901","HALE","'095","N","N","ABERNATHY ISD","'17"
"'095902","HALE","'095","N","N","COTTON CENTER ISD","'17"
"'095903","HALE","'095","N","N","HALE CENTER ISD","'17"
"'095904","HALE","'095","N","N","PETERSBURG ISD","'17"
"'095905","HALE","'095","N","N","PLAINVIEW ISD","'17"
"'096904","HALL","'096","N","N","MEMPHIS ISD","'16"
"'096905","HALL","'096","N","N","TURKEY-QUITAQUE ISD","'16"
"'097902","HAMILTON","'097","N","N","HAMILTON ISD","'12"
"'097903","HAMILTON","'097","N","N","HICO ISD","'12"
"'098901","HANSFORD","'098","N","N","GRUVER ISD","'16"
"'098903","HANSFORD","'098","N","N","PRINGLE-MORSE CISD","'16"
"'098904","HANSFORD","'098","N","N","SPEARMAN ISD","'16"
"'099902","HARDEMAN","'099","N","N","CHILLICOTHE ISD","'09"
"'099903","HARDEMAN","'099","N","N","QUANAH ISD","'09"
"'100903","HARDIN","'100","N","N","KOUNTZE ISD","'05"
"'100904","HARDIN","'100","N","N","SILSBEE ISD","'05"
"'100905","HARDIN","'100","N","N","HARDIN-JEFFERSON ISD","'05"
"'100907","HARDIN","'100","N","N","LUMBERTON ISD","'05"
"'100908","HARDIN","'100","N","N","WEST HARDIN COUNTY CISD","'05"
"'101802","HARRIS","'101","N","Y","SER-NINOS CHARTER SCHOOL","'04"
"'101803","HARRIS","'101","N","Y","ARISTOI CLASSICAL ACADEMY","'04"
"'101804","HARRIS","'101","Y","Y","GEORGE I SANCHEZ CHARTER","'04"
"'101806","HARRIS","'101","N","Y","RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","'04"
"'101807","HARRIS","'101","N","Y","UNIVERSITY OF HOUSTON CHARTER SCHO","'04"
"'101810","HARRIS","'101","N","Y","ACADEMY OF ACCELERATED LEARNING IN","'04"
"'101811","HARRIS","'101","Y","Y","EXCEL ACADEMY","'04"
"'101814","HARRIS","'101","N","Y","THE VARNETT PUBLIC SCHOOL","'04"
"'101815","HARRIS","'101","N","Y","ALIEF MONTESSORI COMMUNITY SCHOOL","'04"
"'101819","HARRIS","'101","N","Y","AMIGOS POR VIDA-FRIENDS FOR LIFE P","'04"
"'101821","HARRIS","'101","Y","Y","HOUSTON HEIGHTS HIGH SCHOOL","'04"
"'101828","HARRIS","'101","N","Y","HOUSTON GATEWAY ACADEMY INC","'04"
"'101837","HARRIS","'101","N","Y","CALVIN NELMS CHARTER SCHOOLS","'04"
"'101838","HARRIS","'101","N","Y","SOUTHWEST SCHOOL","'04"
"'101840","HARRIS","'101","N","Y","TWO DIMENSIONS PREPARATORY ACADEMY","'04"
"'101842","HARRIS","'101","N","Y","COMQUEST ACADEMY","'04"
"'101845","HARRIS","'101","N","Y","YES PREP PUBLIC SCHOOLS INC","'04"
"'101846","HARRIS","'101","N","Y","HARMONY SCIENCE ACADEMY","'04"
"'101847","HARRIS","'101","N","Y","BEATRICE MAYES INSTITUTE CHARTER S","'04"
"'101849","HARRIS","'101","N","Y","ACCELERATED INTERMEDIATE ACADEMY","'04"
"'101853","HARRIS","'101","N","Y","PROMISE COMMUNITY SCHOOL","'04"
"'101855","HARRIS","'101","N","Y","MEYERPARK ELEMENTARY","'04"
"'101856","HARRIS","'101","N","Y","DRAW ACADEMY","'04"
"'101858","HARRIS","'101","N","Y","HARMONY SCHOOL OF EXCELLENCE","'04"
"'101859","HARRIS","'101","N","Y","STEP CHARTER SCHOOL","'04"
"'101861","HARRIS","'101","N","Y","THE RHODES SCHOOL","'04"
"'101862","HARRIS","'101","N","Y","HARMONY SCHOOL OF SCIENCE - HOUSTO","'04"
"'101864","HARRIS","'101","Y","Y","THE LAWSON ACADEMY","'04"
"'101868","HARRIS","'101","N","Y","THE PRO-VISION ACADEMY","'04"
"'101870","HARRIS","'101","N","Y","BETA ACADEMY","'04"
"'101871","HARRIS","'101","N","Y","A+ UNLIMITED POTENTIAL","'04"
"'101872","HARRIS","'101","N","Y","ETOILE ACADEMY CHARTER SCHOOL","'04"
"'101873","HARRIS","'101","N","Y","YELLOWSTONE COLLEGE PREPARATORY","'04"
"'101874","HARRIS","'101","N","Y","LEGACY SCHOOL OF SPORT SCIENCES","'04"
"'101875","HARRIS","'101","N","Y","BLOOM ACADEMY CHARTER SCHOOL","'04"
"'101876","HARRIS","'101","N","Y","REVE PREPARATORY CHARTER SCHOOL","'04"
"'101878","HARRIS","'101","N","Y","HOUSTON CLASSICAL CHARTER SCHOOL","'04"
"'101902","HARRIS","'101","N","N","ALDINE ISD","'04"
"'101903","HARRIS","'101","N","N","ALIEF ISD","'04"
"'101905","HARRIS","'101","N","N","CHANNELVIEW ISD","'04"
"'101906","HARRIS","'101","N","N","CROSBY ISD","'04"
"'101907","HARRIS","'101","N","N","CYPRESS-FAIRBANKS ISD","'04"
"'101908","HARRIS","'101","N","N","DEER PARK ISD","'04"
"'101910","HARRIS","'101","N","N","GALENA PARK ISD","'04"
"'101911","HARRIS","'101","N","N","GOOSE CREEK CISD","'04"
"'101912","HARRIS","'101","N","N","HOUSTON ISD","'04"
"'101913","HARRIS","'101","N","N","HUMBLE ISD","'04"
"'101914","HARRIS","'101","N","N","KATY ISD","'04"
"'101915","HARRIS","'101","N","N","KLEIN ISD","'04"
"'101916","HARRIS","'101","N","N","LA PORTE ISD","'04"
"'101917","HARRIS","'101","N","N","PASADENA ISD","'04"
"'101919","HARRIS","'101","N","N","SPRING ISD","'04"
"'101920","HARRIS","'101","N","N","SPRING BRANCH ISD","'04"
"'101921","HARRIS","'101","N","N","TOMBALL ISD","'04"
"'101924","HARRIS","'101","N","N","SHELDON ISD","'04"
"'101925","HARRIS","'101","N","N","HUFFMAN ISD","'04"
"'102901","HARRISON","'102","N","N","KARNACK ISD","'07"
"'102902","HARRISON","'102","N","N","MARSHALL ISD","'07"
"'102903","HARRISON","'102","N","N","WASKOM ISD","'07"
"'102904","HARRISON","'102","N","N","HALLSVILLE ISD","'07"
"'102905","HARRISON","'102","N","N","HARLETON ISD","'07"
"'102906","HARRISON","'102","N","N","ELYSIAN FIELDS ISD","'07"
"'103901","HARTLEY","'103","N","N","CHANNING ISD","'16"
"'103902","HARTLEY","'103","N","N","HARTLEY ISD","'16"
"'104901","HASKELL","'104","N","N","HASKELL CISD","'14"
"'104903","HASKELL","'104","N","N","RULE ISD","'14"
"'104907","HASKELL","'104","N","N","PAINT CREEK ISD","'14"
"'105801","HAYS","'105","N","Y","KATHERINE ANNE PORTER SCHOOL","'13"
"'105802","HAYS","'105","N","Y","TEXAS PREPARATORY SCHOOL","'13"
"'105803","HAYS","'105","N","Y","KI CHARTER ACADEMY","'13"
"'105902","HAYS","'105","N","N","SAN MARCOS CISD","'13"
"'105904","HAYS","'105","N","N","DRIPPING SPRINGS ISD","'13"
"'105905","HAYS","'105","N","N","WIMBERLEY ISD","'13"
"'105906","HAYS","'105","N","N","HAYS CISD","'13"
"'106901","HEMPHILL","'106","N","N","CANADIAN ISD","'16"
"'107901","HENDERSON","'107","N","N","ATHENS ISD","'10"
"'107902","HENDERSON","'107","N","N","BROWNSBORO ISD","'07"
"'107904","HENDERSON","'107","N","N","CROSS ROADS ISD","'07"
"'107905","HENDERSON","'107","N","N","EUSTACE ISD","'07"
"'107906","HENDERSON","'107","N","N","MALAKOFF ISD","'07"
"'107907","HENDERSON","'107","N","N","TRINIDAD ISD","'07"
"'107908","HENDERSON","'107","N","N","MURCHISON ISD","'07"
"'107910","HENDERSON","'107","N","N","LAPOYNOR ISD","'07"
"'108802","HIDALGO","'108","N","Y","HORIZON MONTESSORI PUBLIC SCHOOLS","'01"
"'108804","HIDALGO","'108","Y","Y","TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR","'01"
"'108807","HIDALGO","'108","N","Y","IDEA PUBLIC SCHOOLS","'01"
"'108808","HIDALGO","'108","N","Y","VANGUARD ACADEMY","'01"
"'108809","HIDALGO","'108","N","Y","EXCELLENCE IN LEADERSHIP ACADEMY","'01"
"'108902","HIDALGO","'108","N","N","DONNA ISD","'01"
"'108903","HIDALGO","'108","N","N","EDCOUCH-ELSA ISD","'01"
"'108904","HIDALGO","'108","N","N","EDINBURG CISD","'01"
"'108905","HIDALGO","'108","N","N","HIDALGO ISD","'01"
"'108906","HIDALGO","'108","N","N","MCALLEN ISD","'01"
"'108907","HIDALGO","'108","N","N","MERCEDES ISD","'01"
"'108908","HIDALGO","'108","N","N","MISSION CISD","'01"
"'108909","HIDALGO","'108","N","N","PHARR-SAN JUAN-ALAMO ISD","'01"
"'108910","HIDALGO","'108","N","N","PROGRESO ISD","'01"
"'108911","HIDALGO","'108","N","N","SHARYLAND ISD","'01"
"'108912","HIDALGO","'108","N","N","LA JOYA ISD","'01"
"'108913","HIDALGO","'108","N","N","WESLACO ISD","'01"
"'108914","HIDALGO","'108","N","N","LA VILLA ISD","'01"
"'108915","HIDALGO","'108","N","N","MONTE ALTO ISD","'01"
"'108916","HIDALGO","'108","N","N","VALLEY VIEW ISD","'01"
"'109901","HILL","'109","N","N","ABBOTT ISD","'12"
"'109902","HILL","'109","N","N","BYNUM ISD","'12"
"'109903","HILL","'109","N","N","COVINGTON ISD","'12"
"'109904","HILL","'109","N","N","HILLSBORO ISD","'12"
"'109905","HILL","'109","N","N","HUBBARD ISD","'12"
"'109907","HILL","'109","N","N","ITASCA ISD","'12"
"'109908","HILL","'109","N","N","MALONE ISD","'12"
"'109910","HILL","'109","N","N","MOUNT CALM ISD","'12"
"'109911","HILL","'109","N","N","WHITNEY ISD","'12"
"'109912","HILL","'109","N","N","AQUILLA ISD","'12"
"'109913","HILL","'109","N","N","BLUM ISD","'12"
"'109914","HILL","'109","N","N","PENELOPE ISD","'12"
"'110901","HOCKLEY","'110","N","N","ANTON ISD","'17"
"'110902","HOCKLEY","'110","N","N","LEVELLAND ISD","'17"
"'110905","HOCKLEY","'110","N","N","ROPES ISD","'17"
"'110906","HOCKLEY","'110","N","N","SMYER ISD","'17"
"'110907","HOCKLEY","'110","N","N","SUNDOWN ISD","'17"
"'110908","HOCKLEY","'110","N","N","WHITHARRAL ISD","'17"
"'111801","HOOD","'111","Y","Y","LAKE GRANBURY ACADEMY CHARTER SCHO","'11"
"'111901","HOOD","'111","N","N","GRANBURY ISD","'11"
"'111902","HOOD","'111","N","N","LIPAN ISD","'11"
"'111903","HOOD","'111","N","N","TOLAR ISD","'11"
"'112901","HOPKINS","'112","N","N","SULPHUR SPRINGS ISD","'08"
"'112905","HOPKINS","'112","N","N","CUMBY ISD","'08"
"'112906","HOPKINS","'112","N","N","NORTH HOPKINS ISD","'08"
"'112907","HOPKINS","'112","N","N","MILLER GROVE ISD","'08"
"'112908","HOPKINS","'112","N","N","COMO-PICKTON CISD","'08"
"'112909","HOPKINS","'112","N","N","SALTILLO ISD","'08"
"'112910","HOPKINS","'112","N","N","SULPHUR BLUFF ISD","'08"
"'113901","HOUSTON","'113","N","N","CROCKETT ISD","'06"
"'113902","HOUSTON","'113","N","N","GRAPELAND ISD","'06"
"'113903","HOUSTON","'113","N","N","LOVELADY ISD","'06"
"'113905","HOUSTON","'113","N","N","LATEXO ISD","'06"
"'113906","HOUSTON","'113","N","N","KENNARD ISD","'06"
"'114901","HOWARD","'114","N","N","BIG SPRING ISD","'18"
"'114902","HOWARD","'114","N","N","COAHOMA ISD","'18"
"'114904","HOWARD","'114","N","N","FORSAN ISD","'18"
"'115901","HUDSPETH","'115","N","N","FT HANCOCK ISD","'19"
"'115902","HUDSPETH","'115","N","N","SIERRA BLANCA ISD","'19"
"'115903","HUDSPETH","'115","N","N","DELL CITY ISD","'19"
"'116901","HUNT","'116","N","N","CADDO MILLS ISD","'10"
"'116902","HUNT","'116","N","N","CELESTE ISD","'10"
"'116903","HUNT","'116","N","N","COMMERCE ISD","'10"
"'116905","HUNT","'116","N","N","GREENVILLE ISD","'10"
"'116906","HUNT","'116","N","N","LONE OAK ISD","'10"
"'116908","HUNT","'116","N","N","QUINLAN ISD","'10"
"'116909","HUNT","'116","N","N","WOLFE CITY ISD","'10"
"'116910","HUNT","'116","N","N","CAMPBELL ISD","'10"
"'116915","HUNT","'116","N","N","BLAND ISD","'10"
"'116916","HUNT","'116","N","N","BOLES ISD","'10"
"'117901","HUTCHINSON","'117","N","N","BORGER ISD","'16"
"'117903","HUTCHINSON","'117","N","N","SANFORD-FRITCH ISD","'16"
"'117904","HUTCHINSON","'117","N","N","PLEMONS-STINNETT-PHILLIPS CISD","'16"
"'117907","HUTCHINSON","'117","N","N","SPRING CREEK ISD","'16"
"'118902","IRION","'118","N","N","IRION COUNTY ISD","'15"
"'119901","JACK","'119","N","N","BRYSON ISD","'09"
"'119902","JACK","'119","N","N","JACKSBORO ISD","'09"
"'119903","JACK","'119","N","N","PERRIN-WHITT CISD","'09"
"'120901","JACKSON","'120","N","N","EDNA ISD","'03"
"'120902","JACKSON","'120","N","N","GANADO ISD","'03"
"'120905","JACKSON","'120","N","N","INDUSTRIAL ISD","'03"
"'121902","JASPER","'121","N","N","BROOKELAND ISD","'05"
"'121903","JASPER","'121","N","N","BUNA ISD","'05"
"'121904","JASPER","'121","N","N","JASPER ISD","'05"
"'121905","JASPER","'121","N","N","KIRBYVILLE CISD","'05"
"'121906","JASPER","'121","N","N","EVADALE ISD","'05"
"'122901","JEFF DAVIS","'122","N","N","FT DAVIS ISD","'18"
"'122902","JEFF DAVIS","'122","N","N","VALENTINE ISD","'18"
"'123803","JEFFERSON","'123","N","Y","TEKOA ACADEMY OF ACCELERATED STUDI","'05"
"'123805","JEFFERSON","'123","N","Y","EHRHART SCHOOL","'05"
"'123807","JEFFERSON","'123","N","Y","BOB HOPE SCHOOL","'05"
"'123905","JEFFERSON","'123","N","N","NEDERLAND ISD","'05"
"'123907","JEFFERSON","'123","N","N","PORT ARTHUR ISD","'05"
"'123908","JEFFERSON","'123","N","N","PORT NECHES-GROVES ISD","'05"
"'123910","JEFFERSON","'123","N","N","BEAUMONT ISD","'05"
"'123913","JEFFERSON","'123","N","N","SABINE PASS ISD","'05"
"'123914","JEFFERSON","'123","N","N","HAMSHIRE-FANNETT ISD","'05"
"'124901","JIM HOGG","'124","N","N","JIM HOGG COUNTY ISD","'01"
"'125901","JIM WELLS","'125","N","N","ALICE ISD","'02"
"'125902","JIM WELLS","'125","N","N","BEN BOLT-PALITO BLANCO ISD","'02"
"'125903","JIM WELLS","'125","N","N","ORANGE GROVE ISD","'02"
"'125905","JIM WELLS","'125","N","N","PREMONT ISD","'02"
"'125906","JIM WELLS","'125","N","N","LA GLORIA ISD","'02"
"'126901","JOHNSON","'126","N","N","ALVARADO ISD","'11"
"'126902","JOHNSON","'126","N","N","BURLESON ISD","'11"
"'126903","JOHNSON","'126","N","N","CLEBURNE ISD","'11"
"'126904","JOHNSON","'126","N","N","GRANDVIEW ISD","'11"
"'126905","JOHNSON","'126","N","N","JOSHUA ISD","'11"
"'126906","JOHNSON","'126","N","N","KEENE ISD","'11"
"'126907","JOHNSON","'126","N","N","RIO VISTA ISD","'11"
"'126908","JOHNSON","'126","N","N","VENUS ISD","'11"
"'126911","JOHNSON","'126","N","N","GODLEY ISD","'11"
"'127901","JONES","'127","N","N","ANSON ISD","'14"
"'127903","JONES","'127","N","N","HAMLIN COLLEGIATE ISD","'14"
"'127904","JONES","'127","N","N","HAWLEY ISD","'14"
"'127905","JONES","'127","N","N","LUEDERS-AVOCA ISD","'14"
"'127906","JONES","'127","N","N","STAMFORD ISD","'14"
"'128901","KARNES","'128","N","N","KARNES CITY ISD","'03"
"'128902","KARNES","'128","N","N","KENEDY ISD","'03"
"'128903","KARNES","'128","N","N","RUNGE ISD","'03"
"'128904","KARNES","'128","N","N","FALLS CITY ISD","'20"
"'129901","KAUFMAN","'129","N","N","CRANDALL ISD","'10"
"'129902","KAUFMAN","'129","N","N","FORNEY ISD","'10"
"'129903","KAUFMAN","'129","N","N","KAUFMAN ISD","'10"
"'129904","KAUFMAN","'129","N","N","KEMP ISD","'10"
"'129905","KAUFMAN","'129","N","N","MABANK ISD","'10"
"'129906","KAUFMAN","'129","N","N","TERRELL ISD","'10"
"'129910","KAUFMAN","'129","N","N","SCURRY-ROSSER ISD","'10"
"'130801","KENDALL","'130","N","Y","MEADOWLAND CHARTER DISTRICT","'20"
"'130901","KENDALL","'130","N","N","BOERNE ISD","'20"
"'130902","KENDALL","'130","N","N","COMFORT ISD","'13"
"'131001","KENEDY","'131","N","N","KENEDY COUNTY WIDE CSD","'02"
"'132902","KENT","'132","N","N","JAYTON-GIRARD ISD","'17"
"'133901","KERR","'133","N","N","CENTER POINT ISD","'20"
"'133902","KERR","'133","N","N","HUNT ISD","'20"
"'133903","KERR","'133","N","N","KERRVILLE ISD","'20"
"'133904","KERR","'133","N","N","INGRAM ISD","'20"
"'133905","KERR","'133","N","N","DIVIDE ISD","'20"
"'134901","KIMBLE","'134","N","N","JUNCTION ISD","'15"
"'135001","KING","'135","N","N","GUTHRIE CSD","'17"
"'136901","KINNEY","'136","N","N","BRACKETT ISD","'20"
"'137901","KLEBERG","'137","N","N","KINGSVILLE ISD","'02"
"'137902","KLEBERG","'137","N","N","RICARDO ISD","'02"
"'137903","KLEBERG","'137","N","N","RIVIERA ISD","'02"
"'137904","KLEBERG","'137","N","N","SANTA GERTRUDIS ISD","'02"
"'138902","KNOX","'138","N","N","KNOX CITY-O'BRIEN CISD","'09"
"'138903","KNOX","'138","N","N","MUNDAY CISD","'09"
"'138904","KNOX","'138","N","N","BENJAMIN ISD","'09"
"'139905","LAMAR","'139","N","N","CHISUM ISD","'08"
"'139909","LAMAR","'139","N","N","PARIS ISD","'08"
"'139911","LAMAR","'139","N","N","NORTH LAMAR ISD","'08"
"'139912","LAMAR","'139","N","N","PRAIRILAND ISD","'08"
"'140901","LAMB","'140","N","N","AMHERST ISD","'17"
"'140904","LAMB","'140","N","N","LITTLEFIELD ISD","'17"
"'140905","LAMB","'140","N","N","OLTON ISD","'17"
"'140907","LAMB","'140","N","N","SPRINGLAKE-EARTH ISD","'17"
"'140908","LAMB","'140","N","N","SUDAN ISD","'17"
"'141901","LAMPASAS","'141","N","N","LAMPASAS ISD","'12"
"'141902","LAMPASAS","'141","N","N","LOMETA ISD","'12"
"'142901","LA SALLE","'142","N","N","COTULLA ISD","'20"
"'143901","LAVACA","'143","N","N","HALLETTSVILLE ISD","'03"
"'143902","LAVACA","'143","N","N","MOULTON ISD","'03"
"'143903","LAVACA","'143","N","N","SHINER ISD","'03"
"'143904","LAVACA","'143","N","N","VYSEHRAD ISD","'03"
"'143905","LAVACA","'143","N","N","SWEET HOME ISD","'03"
"'143906","LAVACA","'143","N","N","EZZELL ISD","'03"
"'144901","LEE","'144","N","N","GIDDINGS ISD","'13"
"'144902","LEE","'144","N","N","LEXINGTON ISD","'13"
"'144903","LEE","'144","N","N","DIME BOX ISD","'13"
"'145901","LEON","'145","N","N","BUFFALO ISD","'06"
"'145902","LEON","'145","N","N","CENTERVILLE ISD","'06"
"'145906","LEON","'145","N","N","NORMANGEE ISD","'06"
"'145907","LEON","'145","N","N","OAKWOOD ISD","'06"
"'145911","LEON","'145","N","N","LEON ISD","'06"
"'146901","LIBERTY","'146","N","N","CLEVELAND ISD","'04"
"'146902","LIBERTY","'146","N","N","DAYTON ISD","'04"
"'146903","LIBERTY","'146","N","N","DEVERS ISD","'04"
"'146904","LIBERTY","'146","N","N","HARDIN ISD","'04"
"'146905","LIBERTY","'146","N","N","HULL-DAISETTA ISD","'05"
"'146906","LIBERTY","'146","N","N","LIBERTY ISD","'05"
"'146907","LIBERTY","'146","N","N","TARKINGTON ISD","'04"
"'147901","LIMESTONE","'147","N","N","COOLIDGE ISD","'12"
"'147902","LIMESTONE","'147","N","N","GROESBECK ISD","'12"
"'147903","LIMESTONE","'147","N","N","MEXIA ISD","'12"
"'148901","LIPSCOMB","'148","N","N","BOOKER ISD","'16"
"'148902","LIPSCOMB","'148","N","N","FOLLETT ISD","'16"
"'148905","LIPSCOMB","'148","N","N","DARROUZETT ISD","'16"
"'149901","LIVE OAK","'149","N","N","GEORGE WEST ISD","'02"
"'149902","LIVE OAK","'149","N","N","THREE RIVERS ISD","'02"
"'150901","LLANO","'150","N","N","LLANO ISD","'13"
"'152802","LUBBOCK","'152","N","Y","RISE ACADEMY","'17"
"'152803","LUBBOCK","'152","Y","Y","TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOC","'17"
"'152806","LUBBOCK","'152","N","Y","BETTY M CONDRA SCHOOL FOR EDUCATIO","'17"
"'152901","LUBBOCK","'152","N","N","LUBBOCK ISD","'17"
"'152902","LUBBOCK","'152","N","N","NEW DEAL ISD","'17"
"'152903","LUBBOCK","'152","N","N","SLATON ISD","'17"
"'152906","LUBBOCK","'152","N","N","LUBBOCK-COOPER ISD","'17"
"'152907","LUBBOCK","'152","N","N","FRENSHIP ISD","'17"
"'152908","LUBBOCK","'152","N","N","ROOSEVELT ISD","'17"
"'152909","LUBBOCK","'152","N","N","SHALLOWATER ISD","'17"
"'152910","LUBBOCK","'152","N","N","IDALOU ISD","'17"
"'153903","LYNN","'153","N","N","O'DONNELL ISD","'17"
"'153904","LYNN","'153","N","N","TAHOKA ISD","'17"
"'153905","LYNN","'153","N","N","NEW HOME ISD","'17"
"'153907","LYNN","'153","N","N","WILSON ISD","'17"
"'154901","MADISON","'154","N","N","MADISONVILLE CISD","'06"
"'154903","MADISON","'154","N","N","NORTH ZULCH ISD","'06"
"'155901","MARION","'155","N","N","JEFFERSON ISD","'08"
"'156902","MARTIN","'156","N","N","STANTON ISD","'18"
"'156905","MARTIN","'156","N","N","GRADY ISD","'18"
"'157901","MASON","'157","N","N","MASON ISD","'15"
"'158901","MATAGORDA","'158","N","N","BAY CITY ISD","'03"
"'158902","MATAGORDA","'158","N","N","TIDEHAVEN ISD","'03"
"'158904","MATAGORDA","'158","N","N","MATAGORDA ISD","'03"
"'158905","MATAGORDA","'158","N","N","PALACIOS ISD","'03"
"'158906","MATAGORDA","'158","N","N","VAN VLECK ISD","'03"
"'159901","MAVERICK","'159","N","N","EAGLE PASS ISD","'20"
"'160901","MCCULLOCH","'160","N","N","BRADY ISD","'15"
"'160904","MCCULLOCH","'160","N","N","ROCHELLE ISD","'15"
"'160905","MCCULLOCH","'160","N","N","LOHN ISD","'15"
"'161801","MCLENNAN","'161","N","Y","WACO CHARTER SCHOOL","'12"
"'161802","MCLENNAN","'161","N","Y","RAPOPORT ACADEMY PUBLIC SCHOOL","'12"
"'161807","MCLENNAN","'161","N","Y","HARMONY SCIENCE ACAD (WACO)","'12"
"'161901","MCLENNAN","'161","N","N","CRAWFORD ISD","'12"
"'161903","MCLENNAN","'161","N","N","MIDWAY ISD","'12"
"'161906","MCLENNAN","'161","N","N","LA VEGA ISD","'12"
"'161907","MCLENNAN","'161","N","N","LORENA ISD","'12"
"'161908","MCLENNAN","'161","N","N","MART ISD","'12"
"'161909","MCLENNAN","'161","N","N","MCGREGOR ISD","'12"
"'161910","MCLENNAN","'161","N","N","MOODY ISD","'12"
"'161912","MCLENNAN","'161","N","N","RIESEL ISD","'12"
"'161914","MCLENNAN","'161","N","N","WACO ISD","'12"
"'161916","MCLENNAN","'161","N","N","WEST ISD","'12"
